Title,Paper_URL,OpenReview_URL,Authors
"Amortized Decision-Aware Bayesian Experimental Design","https://openreview.net/pdf?id=dDqNhoNHFo","https://openreview.net/forum?id=dDqNhoNHFo","Daolang Huang, Yujia Guo, Luigi Acerbi, and Samuel Kaski"
"Posterior Inferred, Now What? Streamlining Prediction in Bayesian Deep Learning","https://openreview.net/pdf?id=cx9TXPTzt9","https://openreview.net/forum?id=cx9TXPTzt9","Rui Li, Marcus Klasson, Arno Solin, and Martin Trapp"
"Bayesian Nonparametric Learning using the Maximum Mean Discrepancy Measure for Synthetic Data Generation","https://openreview.net/pdf?id=bXAR2BOFJJ","https://openreview.net/forum?id=bXAR2BOFJJ","Forough Fazeli-Asl, Michael Minyi Zhang, and Lizhen Lin"
"Lightspeed Black-box Bayesian Optimization via Local Score Matching","https://openreview.net/pdf?id=b9N6i7QYDA","https://openreview.net/forum?id=b9N6i7QYDA","Yakun Wang, Sherman Khoo, and Song Liu"
"The role of tail dependence in estimating posterior expectations","https://openreview.net/pdf?id=Zxk07UdWEy","https://openreview.net/forum?id=Zxk07UdWEy","Nicola Branchini, and Víctor Elvira"
"Universal Functional Regression with Neural Operator Flows","https://openreview.net/pdf?id=ZCtnWuaZiI","https://openreview.net/forum?id=ZCtnWuaZiI","Yaozhong Shi, Angela F Gao, Zachary E Ross, and Kamyar Azizzadenesheli"
"Variational Bayes Gaussian Splatting","https://openreview.net/pdf?id=Z4499q83Td","https://openreview.net/forum?id=Z4499q83Td","Toon Van de Maele, Ozan Catal, Alexander Tschantz, Christopher Buckley, and Tim Verbelen"
"Efficient Bayesian Additive Regression Models For Microbiome Studies","https://openreview.net/pdf?id=XnP7waOEjc","https://openreview.net/forum?id=XnP7waOEjc","Tinghua Chen, Michelle Pistner Nixon, and Justin D Silverman"
"Rethinking Aleatoric and Epistemic Uncertainty","https://openreview.net/pdf?id=WIjgbXd2zK","https://openreview.net/forum?id=WIjgbXd2zK","Freddie Bickford Smith, Jannik Kossen, Eleanor Trollope, Mark van der Wilk, Adam Foster, and Tom Rainforth"
"Big Batch Bayesian Active Learning by Considering Predictive Probabilities","https://openreview.net/pdf?id=VikX9euujU","https://openreview.net/forum?id=VikX9euujU","Sebastian W. Ober, Samuel Power, Tom Diethe, and Henry Moss"
"Variational Inference in Similarity Spaces: A Bayesian Approach to Personalized Federated Learning","https://openreview.net/pdf?id=VOEVnNjJza","https://openreview.net/forum?id=VOEVnNjJza","Pedro H Barros, Fabricio Murai, Amir Houmansadr, Alejandro C. Frery, and Heitor Soares Ramos Filho"
"Variational Search Distributions","https://openreview.net/pdf?id=UYfx9b7Z1j","https://openreview.net/forum?id=UYfx9b7Z1j","Daniel M. Steinberg, Rafael Oliveira, Cheng Soon Ong, and Edwin V. Bonilla"
"Learning to Defer with an Uncertain Rejector via Conformal Prediction","https://openreview.net/pdf?id=TWb9y4PNSW","https://openreview.net/forum?id=TWb9y4PNSW","Yizirui Fang, and Eric Nalisnick"
"Post-Calibration Techniques: Balancing Calibration and Score Distribution Alignment","https://openreview.net/pdf?id=TIy0QuWPuE","https://openreview.net/forum?id=TIy0QuWPuE","Agathe Fernandes Machado, Arthur Charpentier, Emmanuel Flachaire, Ewen Gallic, and Francois HU"
"Uncertainty as a criterion for SOTIF evaluation of deep learning models in autonomous driving systems","https://openreview.net/pdf?id=SqiiTnpAad","https://openreview.net/forum?id=SqiiTnpAad","Ho Suk, and Shiho Kim"
"Atomic Layer Deposition Optimization via Targeted Adaptive Design.","https://openreview.net/pdf?id=SpDYpgBU7v","https://openreview.net/forum?id=SpDYpgBU7v","Marieme Ngom, Carlo Graziani, and Noah Paulson"
"Fast, Precise Thompson Sampling for Bayesian Optimization","https://openreview.net/pdf?id=SAFIkA4Lap","https://openreview.net/forum?id=SAFIkA4Lap","David Sweet"
"Scalable Permutation Invariant Multi-Output Gaussian Processes for Cancer Drug Response","https://openreview.net/pdf?id=RfUbUal8DK","https://openreview.net/forum?id=RfUbUal8DK","Leiv Rønneberg, and Vidhi Lalchand"
"Bayesian Optimal Experimental Design of Streaming Data Incorporating Machine Learning Generated Synthetic Data","https://openreview.net/pdf?id=RKxzpg9Kta","https://openreview.net/forum?id=RKxzpg9Kta","Kentaro Hoffman, and Tyler McCormick"
"An Information-Theoretic Analysis of Thompson Sampling for Logistic Bandits","https://openreview.net/pdf?id=RG55EFkZ6R","https://openreview.net/forum?id=RG55EFkZ6R","Amaury Gouverneur, Borja Rodríguez Gálvez, Tobias Oechtering, and Mikael Skoglund"
"Decision-Driven Calibration for Cost-Sensitive Uncertainty Quantification","https://openreview.net/pdf?id=RBlQKY10KY","https://openreview.net/forum?id=RBlQKY10KY","Gregory Canal, Vladimir Leung, John J. Guerrerio, Philip Sage, and I-Jeng Wang"
"Data-Efficient Variational Mutual Information Estimation via Bayesian Self-Consistency","https://openreview.net/pdf?id=QfiyElaO1f","https://openreview.net/forum?id=QfiyElaO1f","Desi R. Ivanova, Marvin Schmitt, and Stefan T. Radev"
"Riemannian Black Box Variational Inference","https://openreview.net/pdf?id=QBbc0L5Zpb","https://openreview.net/forum?id=QBbc0L5Zpb","Mykola Lukashchuk, Wouter W. L. Nuijten, Dmitry Bagaev, Ismail Senoz, and Bert de Vries"
"Bayesian Optimization for High-dimensional Urban Mobility Problems","https://openreview.net/pdf?id=QAk81qFRWV","https://openreview.net/forum?id=QAk81qFRWV","Seongjin Choi, Sergio Rodriguez, and Carolina Osorio"
"Optimizing Detection Time and Specificity: Early Classification of Time Series with Sensitivity Constraint","https://openreview.net/pdf?id=PXVqsZlxEa","https://openreview.net/forum?id=PXVqsZlxEa","Jiaming Qiu, Ying-Qi Zhao, and Yingye Zheng"
"Adaptive Transductive Inference via Sequential Experimental Design with Contextual Retention","https://openreview.net/pdf?id=PGvVf2h2Yb","https://openreview.net/forum?id=PGvVf2h2Yb","Tareq Si Salem"
"Direct Acquisition Optimization for Low-Budget Active Learning","https://openreview.net/pdf?id=ODjjSqlH8j","https://openreview.net/forum?id=ODjjSqlH8j","Zhuokai Zhao, Yibo Jiang, and Yuxin Chen"
"ROSA: An Optimization Algorithm for Multi-Modal Derivative-Free Functions in High Dimensions","https://openreview.net/pdf?id=OB2G8ZGPZv","https://openreview.net/forum?id=OB2G8ZGPZv","Ilija Ilievski, Wenyu Wang, and Christine A. Shoemaker"
"A scalable Bayesian continual learning framework for online and sequential decision making","https://openreview.net/pdf?id=NDaaCaWS9N","https://openreview.net/forum?id=NDaaCaWS9N","Hanwen Xing, and Christopher Yau"
"Failure Prediction from Few Expert Demonstrations","https://openreview.net/pdf?id=Mb91zIJvzi","https://openreview.net/forum?id=Mb91zIJvzi","Anjali Parashar, Kunal Garg, Joseph Zhang, and Chuchu Fan"
"Probabilistic Fusion Approach for Robust Battery Prognostics","https://openreview.net/pdf?id=M5Kd748G7w","https://openreview.net/forum?id=M5Kd748G7w","Jokin Alcibar, Ekhi Zugasti, Aitor Aguirre-Ortuzar, and Jose I. Aizpurua"
"Spectral structure learning for clinical time series","https://openreview.net/pdf?id=M2YON6bV0j","https://openreview.net/forum?id=M2YON6bV0j","Ivan Lerner, Francis Bach, and Anita Burgun"
"Computationally Efficient Laplace Approximations for Neural Networks","https://openreview.net/pdf?id=Ku4jYr8W0N","https://openreview.net/forum?id=Ku4jYr8W0N","Swarnali Raha, Kshitij Khare, and Rohit K Patra"
"Diff-BBO:  Diffusion-Based Inverse Modeling for Black-Box Optimization","https://openreview.net/pdf?id=KizOx8SheQ","https://openreview.net/forum?id=KizOx8SheQ","Dongxia Wu, Nikki Lijing Kuang, Ruijia Niu, Yian Ma, and Rose Yu"
"Efficient Modeling of Irregular Time-Series with Stochastic Optimal Control","https://openreview.net/pdf?id=KRtuDGFJzu","https://openreview.net/forum?id=KRtuDGFJzu","Byoungwoo Park, Hyungi Lee, and Juho Lee"
"Scaling Gaussian Processes for Learning Curve Prediction via Latent Kronecker Structure","https://openreview.net/pdf?id=JdCzCRaQru","https://openreview.net/forum?id=JdCzCRaQru","Jihao Andreas Lin, Sebastian Ament, Maximilian Balandat, and Eytan Bakshy"
"Gaussian Process Thompson Sampling via Rootfinding","https://openreview.net/pdf?id=IpRLTVblaV","https://openreview.net/forum?id=IpRLTVblaV","Taiwo Adebiyi, Bach Do, and Ruda Zhang"
"Gaussian Randomized Exploration for Semi-bandits with Sleeping Arms","https://openreview.net/pdf?id=IP8UzSWCoG","https://openreview.net/forum?id=IP8UzSWCoG","ZHIMING HUANG, Bingshan Hu, and jianping pan"
"Efficient Local Unlearning for Gaussian Processes with Out-of-Distribution Data","https://openreview.net/pdf?id=GNFh7UbP7s","https://openreview.net/forum?id=GNFh7UbP7s","Juliusz Ziomek, and Ilija Bogunovic"
"Latent Spatial Dirichlet Allocation","https://openreview.net/pdf?id=GHWAjDtNhW","https://openreview.net/forum?id=GHWAjDtNhW","Junsouk Choi, Veerabhadran Baladandayuthapani, and Jian Kang"
"Robust Multi-fidelity Bayesian Optimization with Deep Kernel and Partition","https://openreview.net/pdf?id=FTDDW41M5m","https://openreview.net/forum?id=FTDDW41M5m","Fengxue Zhang, Thomas Desautels, and Yuxin Chen"
"Learning from Less: Bayesian Neural Networks for Optimization Proxy using Limited Labeled Data","https://openreview.net/pdf?id=E03lKqFNcu","https://openreview.net/forum?id=E03lKqFNcu","Parikshit Pareek, Kaarthik Sundar, Deepjyoti Deka, and Sidhant Misra"
"Gaussian Process Conjoint Analysis for Adaptive Marginal Effect Estimation","https://openreview.net/pdf?id=Dm0sy78rRf","https://openreview.net/forum?id=Dm0sy78rRf","Yehu Chen, Jacob Montgomery, and Roman Garnett"
"Recursive Nested Filtering for Efficient Amortized Bayesian Experimental Design","https://openreview.net/pdf?id=D9kVWeBlId","https://openreview.net/forum?id=D9kVWeBlId","Sahel Iqbal, Hany Abdulsamad, Sara Perez-Vieites, Simo Särkkä, and Adrien Corenflos"
"Bayesian Rashomon Sets for Model Uncertainty: A critical comparison","https://openreview.net/pdf?id=CwQysEqKDy","https://openreview.net/forum?id=CwQysEqKDy","Aparajithan Venkateswaran, Anirudh Sankar, Arun Chandrasekhar, and Tyler McCormick"
"Cold Posterior Effect towards Adversarial Robustness","https://openreview.net/pdf?id=CuwFBTS557","https://openreview.net/forum?id=CuwFBTS557","Bruce Rushing, Antonios Alexos, Harrison Espino, Nicholas Cohen, and Pierre Baldi"
"Mode Collapse in Variational Deep Gaussian Processes","https://openreview.net/pdf?id=AyJweU0IJg","https://openreview.net/forum?id=AyJweU0IJg","Francisco Javier Sáez-Maldonado, Juan Maroñas, and Daniel Hernández-Lobato"
"TR-BEACON: Shedding Light on Efficient Behavior Discovery in High-Dimensional Spaces with Bayesian Novelty Search over Trust Regions","https://openreview.net/pdf?id=9Xo6ONB8E3","https://openreview.net/forum?id=9Xo6ONB8E3","Wei-Ting Tang, Ankush Chakrabarty, and Joel Paulson"
"Order-Optimal Regret in Distributed Kernel Bandits using Uniform Sampling with Shared Randomness","https://openreview.net/pdf?id=8jx5gvWEhU","https://openreview.net/forum?id=8jx5gvWEhU","Nikola Pavlovic, Sudeep Salgia, and Qing Zhao"
"Stochastic Gradient MCMC for Gaussian Process Inference on Massive Geostatistical Data","https://openreview.net/pdf?id=7z6Y056RQN","https://openreview.net/forum?id=7z6Y056RQN","Mohamed A. Abba, Brian J. Reich, Reetam Majumder, and Brandon Feng"
"TP$^2$DP$^2$: A Bayesian Mixture Model of Temporal Point Processes with Determinantal Point Process Prior","https://openreview.net/pdf?id=7rO2TdyaDA","https://openreview.net/forum?id=7rO2TdyaDA","Yiwei Dong, Shaoxin Ye, Yuwen Cao, Qiyu Han, Hongteng Xu, and Hanfang Yang"
"Cost-effective Reduced-Order Modeling via Bayesian Active Learning","https://openreview.net/pdf?id=7oJAwWHndH","https://openreview.net/forum?id=7oJAwWHndH","Amir Hossein Rahmati, Nathan Urban, Byung-Jun Yoon, and Xiaoning Qian"
"Improved Depth Estimation of Bayesian Neural Networks","https://openreview.net/pdf?id=6TLRVdWGzI","https://openreview.net/forum?id=6TLRVdWGzI","Bart van Erp, and Bert de Vries"
"Trieste: Efficiently Exploring The Depths of Black-box Functions with TensorFlow","https://openreview.net/pdf?id=5ZHBcQIyWt","https://openreview.net/forum?id=5ZHBcQIyWt","Henry Moss, Victor Picheny, Hrvoje Stojic, Sebastian W. Ober, Artem Artemev, Andrei Paleyes, Sattar Vakili, Stratis Markou, Jixiang Qing, Nasrulloh Ratu Bagus Satrio Loka, and Ivo Couckuyt"
"Conformalised Conditional Normalising Flows for Joint Prediction Regions in time series","https://openreview.net/pdf?id=5Vkwer7im5","https://openreview.net/forum?id=5Vkwer7im5","Eshant English, and Christoph Lippert"
"Had enough of experts? Elicitation and evaluation of Bayesian priors from large language models","https://openreview.net/pdf?id=3iDxHRQfVy","https://openreview.net/forum?id=3iDxHRQfVy","David Antony Selby, Kai Spriestersbach, Yuichiro Iwashita, Dennis Bappert, Archana Warrier, Sumantrak Mukherjee, Muhammad Nabeel Asim, Koichi Kise, and Sebastian Josef Vollmer"
"Preconditioned Crank-Nicolson Algorithms for Wide Bayesian Neural Networks","https://openreview.net/pdf?id=3TsD8RI3vc","https://openreview.net/forum?id=3TsD8RI3vc","Lucia Pezzetti, Stefano Favaro, and Stefano Peluchetti"
"Graph Agnostic Causal Bayesian Optimisation","https://openreview.net/pdf?id=2zOZx8eqEs","https://openreview.net/forum?id=2zOZx8eqEs","Sumantrak Mukherjee, Mengyan Zhang, Seth Flaxman, and Sebastian Josef Vollmer"
"Bayesian Optimization of High-dimensional Outputs with Human Feedback","https://openreview.net/pdf?id=2fHwkHskpo","https://openreview.net/forum?id=2fHwkHskpo","Qing Feng, Zhiyuan Jerry Lin, Yujia Zhang, Benjamin Letham, Jelena Markovic-Voronov, Ryan-Rhys Griffiths, Peter I. Frazier, and Eytan Bakshy"
"An Active Learning Performance Model for Parallel Bayesian Calibration of Expensive Simulations","https://openreview.net/pdf?id=1iWU1lqtbE","https://openreview.net/forum?id=1iWU1lqtbE","Özge Sürer, and Stefan M. Wild"
"Using Rashomon Sets for Robust Active Learning","https://openreview.net/pdf?id=1d2tQi9keK","https://openreview.net/forum?id=1d2tQi9keK","Simon Dovan Nguyen, Tyler McCormick, and Kentaro Hoffman"
"Lithium-Ion Battery System Health Monitoring and Resistance-Based Fault Analysis from Field Data Using Recursive Spatiotemporal Gaussian Processes","https://openreview.net/pdf?id=18snzX2tfS","https://openreview.net/forum?id=18snzX2tfS","Joachim Schaeffer, Eric Lenz, Duncan Gulla, Martin Z. Bazant, Richard Braatz, and Rolf Findeisen"
"Ensemble Mashups: A Simple Recipe For Better Bayesian Optimization","https://openreview.net/pdf?id=0XT4bp5cbw","https://openreview.net/forum?id=0XT4bp5cbw","Anand Ravishankar, Fernando Llorente, Yuanqing Song, and Petar Djuric"
"Active Learning for Optimal Minimization of Experimental Characterization Uncertainty","https://openreview.net/pdf?id=0EjE4hhI1U","https://openreview.net/forum?id=0EjE4hhI1U","Marcus Schwarting, Nathan Seifert, Logan Ward, Ben Blaiszik, Ian Foster, Yuxin Chen, and Kirill Prozument"
